url;title_result
https://www.rmf24.pl/regiony/zakopane/news-dojazd-do-kuznic-na-czas-swiat-i-ferii-czesciowo-przywrocony,nId,7213288#crp_state=1;Dojazd do Kuźnic na czas świąt i ferii częściowo przywrócony - RMF 24
https://www.rmf24.pl/regiony/warszawa/news-w-niedziele-sklepy-otwarte-komunikacja-w-warszawie-pojedzie-,nId,7213275#crp_state=1;W niedzielę sklepy otwarte. Komunikacja w Warszawie pojedzie częściej - RMF 24
https://www.rmf24.pl/regiony/trojmiasto/news-22-latek-pobity-w-centrum-handlowym-w-gdyni,nId,7213270#crp_state=1;22-latek pobity w centrum handlowym w Gdyni - RMF 24
https://www.rmf24.pl/regiony/rzeszow/news-pociagi-hybrydowe-ruszaja-na-podkarpackie-tory,nId,7213267#crp_state=1;Pociągi hybrydowe ruszają na podkarpackie tory  - RMF 24
https://www.rmf24.pl/regiony/slaskie/news-syreny-alarmowe-w-42-rocznice-pacyfikacji-kopalni-wujek,nId,7213258#crp_state=1;Syreny alarmowe w 42. rocznicę pacyfikacji kopalni Wujek - RMF 24
https://www.rmf24.pl/regiony/kielce/news-25-latek-podczas-rodzinnej-awantury-zabil-ojca,nId,7213246#crp_state=1;25-latek podczas rodzinnej awantury zabił ojca - RMF 24
https://www.rmf24.pl/regiony/trojmiasto/news-swiateczny-tramwaj-wyrusza-w-miasto,nId,7213241#crp_state=1;Świąteczny tramwaj wyrusza w miasto - RMF 24
https://www.rmf24.pl/polityka/news-macierewicz-podkomisja-smolenska-bedzie-dzialac-decyzje-szef,nId,7213231#crp_state=1;Macierewicz: Podkomisja smoleńska będzie działać. Decyzje szefa MON bezprawne - RMF 24
https://www.rmf24.pl/raporty/raport-boze-narodzenie-2023/news-druzyna-piernika-w-rmf-fm-z-malymi-kucharzami-pieczemy-swiat,nId,7211462#crp_state=1;Drużyna piernika w RMF FM. Z małymi kucharzami pieczemy świąteczne smakołyki - RMF 24
https://www.rmf24.pl/regiony/slaskie/news-seria-pozarow-w-slaskiem,nId,7213216#crp_state=1;Seria pożarów w Śląskiem - RMF 24
https://wydarzenia.interia.pl/kraj/news-znow-zapomniano-o-ministerstwie-nauki-nowa-swiecka-tradycja,nId,7213257;Ministerstwo Nauki znowu pominięte. Politycy nie mogli powstrzymać śmiechu - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-wazne-spotkanie-na-nowogrodzkiej-pis-wchlonie-inna-partie,nId,7213240;Rada Polityczna Prawa i Sprawiedliwości. Partia wybierze sekretarza generalnego - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-rekordowa-kolejka-na-granicy-z-ukraina-strach-sie-wychylic,nId,7213230;Protest w Dorohusku. Rekordowa kolejka na granicy. Ponad 2200 pojazdów - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-fala-komentarzy-po-decyzji-prezydenta-ustawa-uderza-w-godnos,nId,7213218;Finansowanie in vitro. Lawina komentarzy po decyzji prezydenta - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-policja-znika-sprzed-domu-szefa-pis-zdecydowany-krok-nowego-,nId,7213213;Marcin Kierwiński: Policja zniknęła sprzed domu Jarosława Kaczyńskiego - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-antoni-macierewicz-reaguje-na-likwidacje-komisji-czyste-bezp,nId,7213226;Podkomisja smoleńska zlikwidowana. Antoni Macierewicz reaguje - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-zuchwala-kradziez-w-ministerstwie-wiadomo-kim-byli-sprawcy,nId,7213202;Kradzież cennych przedmiotów z ministerstwa klimatu. Są zatrzymania - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-niedziele-handlowe-w-grudniu-kiedy-zrobimy-zakupy-przed-swie,nId,7209069;Boże Narodzenie. Grudzień 2023. Oto niedziele handlowe w okresie świątecznym - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-porywy-wiatru-nie-ustapia-meteorolodzy-ostrzegaja,nId,7213196;Prognoza pogody na sobotę. Silny wiatr zostanie z nami na dłużej - Wydarzenia w INTERIA.PL
https://wydarzenia.interia.pl/kraj/news-wpis-o-bombie-w-sejmie-jacek-cwieka-z-konfederacji-zatrzyman,nId,7211772;Polityk Konfederacji Jacek Ćwięka zatrzymany. Kontrowersyjny wpis - Wydarzenia w INTERIA.PL
https://wiadomosci.tvp.pl/74801325/nigdy-nie-chodzilo-o-praworzadnosc;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835186/kto-wywalczyl-kpo;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835172/plan-rzadu-tuska-likwidacja;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835159/unia-europejska-gotowa-na-rozszerzenie;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835180/tarcza-antyrakietowa-w-redzikowie-gotowa;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835141/finlandia-znowu-zamyka-granice-z-rosja;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835134/w-obronie-mediow-publicznych;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835106/wierni-polskiej-tozsamosci;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835123/w-interesie-widzow;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.tvp.pl/74835102/weekend-cudow-szlachetnej-paczki;Program informacyjny 19.30, Oglądaj na TVP VOD
https://wiadomosci.wp.pl/zmiany-w-pis-maja-wchlonac-partie-bielana-6974359925820256a?utm_source=combreak;Duża zmiana partyjna. Media: PiS wchłonie inną partię - WP Wiadomości
https://wiadomosci.wp.pl/lex-tusk-do-likwidacji-polacy-podzieleni-ws-komisji-sledczej-6974046594104160a;"Polacy o ""lex Tusk"". Sygnał dla nowego rządu - WP Wiadomości"
https://wiadomosci.wp.pl/zmiany-w-pis-maja-wchlonac-partie-bielana-6974359925820256a;Duża zmiana partyjna. Media: PiS wchłonie inną partię - WP Wiadomości
https://wiadomosci.wp.pl/ukraina-blizej-ue-rosja-bedzie-robic-wszystko-by-postep-rozmow-zablokowac-6973977810402080a;"Ukraina bliżej UE. ""Rosja będzie robić wszystko, by postęp rozmów zablokować"" - WP Wiadomości"
https://wiadomosci.wp.pl/nowa-wladza-wprowadza-zmiany-dom-kaczynskiego-bez-policyjnej-ochrony-6974272225925952a;Policjanci zniknęli sprzed domu Kaczyńskiego. Szef MSWiA wyjaśnia - WP Wiadomości
https://wiadomosci.wp.pl/podkomisja-zajmie-sie-komisja-macierewicza-6974386692311872a;Minister obrony narodowej powołał zespół ds. komisji Macierewicza - WP Wiadomości
https://wiadomosci.wp.pl/atak-przed-bankiem-starszy-mezczyzna-dostal-cios-nozem-6974382840011584a;Atak przed bankiem. Starszy mężczyzna dostał cios nożem - WP Wiadomości
https://wiadomosci.wp.pl/kadrowe-decyzje-w-pis-wchlaniaja-inna-partie-6974385032825664a;Kadrowe zmiany w PiS. Rada Polityczna zdecydowała - WP Wiadomości
https://wiadomosci.wp.pl/tragiczny-wypadek-na-torach-z-busa-nic-nie-zostalo-kierowca-zginal-na-miejscu-6974374144367456a;Tragiczny wypadek na torach. Z busa nic nie zostało, kierowca zginął na miejscu - WP Wiadomości
https://wiadomosci.wp.pl/pierwszy-krok-bodnara-byly-prezes-tk-czeka-na-ruch-sejmu-6974345411652416a;Pierwszy krok Bodnara. Były prezes TK czeka na ruch Sejmu - WP Wiadomości
https://wiadomosci.onet.pl/kraj/pierwsze-spotkanie-pis-w-fazie-opozycji-wystapienie-prezesa-powinno-nadac-narracje/wkbnkgn;"
        Pierwsze spotkanie PiS w ""fazie opozycji"". ""Wystąpienie prezesa powinno nadać narrację""
        
        - Wiadomości
    "
https://wiadomosci.onet.pl/kraj/nowy-wiceminister-powolany-jego-partia-nie-byla-w-rzadzie-od-75-lat/469v2k4;"Nowy wiceminister powołany. Jego partia nie była w rządzie od 75 lat
        
        - Wiadomości"
https://wiadomosci.onet.pl/kraj/jak-segregowac-swiateczne-odpady/d38wj6r;"
        Jak segregować świąteczne odpady?
        
        - Wiadomości
    "
https://wiadomosci.onet.pl/kraj/po-18-latach-wracaja-do-wladzy-z-tym-przeslaniem-kierujemy-sie-do-rzadu/1j5cbqk;"Po 18 latach wracają do władzy. ""Z tym przesłaniem kierujemy się do rządu""
        
        - Wiadomości"
https://wiadomosci.onet.pl/kraj/studio-swiateczne-onetu-szlachetna-paczka/cy9mjee;"
        Studio świąteczne Onetu ""Szlachetna Paczka""
        
        - Wiadomości
    "
